09/15/14	12:00:28	695	1060	700	4121	579
09/15/14	12:00:29	695	1059	700	4121	579
09/15/14	12:00:31	695	1059	700	4121	579
09/15/14	12:00:33	695	1059	700	4121	578
09/15/14	13:00:26	695	1069	700	4121	580
09/15/14	13:00:28	695	1069	700	4121	579
09/15/14	13:00:29	695	1068	700	4121	579
09/15/14	13:00:31	695	1067	700	4121	578
09/15/14	13:00:33	695	1067	700	4121	578
09/15/14	14:00:26	695	1074	700	4121	579
09/15/14	14:00:28	695	1075	700	4121	578
09/15/14	14:00:29	695	1074	700	4121	578
09/15/14	14:00:31	695	1074	700	4121	578
09/15/14	14:00:33	695	1074	700	4121	577
09/15/14	15:00:26	695	1089	700	4121	579
09/15/14	15:00:28	695	1089	700	4121	578
09/15/14	15:00:30	695	1088	700	4121	578
09/15/14	15:00:31	695	1089	700	4121	578
09/15/14	15:00:33	695	1089	700	4121	577
09/15/14	16:00:26	695	1098	700	4121	579
09/15/14	16:00:28	695	1098	700	4121	579
09/15/14	16:00:30	695	1097	700	4121	578
09/15/14	16:00:31	695	1098	700	4121	578
09/15/14	16:00:33	695	1097	700	4121	578
09/15/14	17:00:26	695	1078	700	4121	580
09/15/14	17:00:28	695	1077	700	4121	579
09/15/14	17:00:30	695	1078	700	4121	579
09/15/14	17:00:31	695	1078	700	4121	578
09/15/14	17:00:33	695	1076	700	4121	578
09/15/14	18:00:26	695	1070	700	4121	579
09/15/14	18:00:28	695	1070	700	4121	578
09/15/14	18:00:30	695	1070	700	4121	578
09/15/14	18:00:31	695	1070	700	4121	578
09/15/14	18:00:33	695	1069	700	4121	577
09/15/14	19:00:26	695	1064	700	4121	578
09/15/14	19:00:28	695	1065	700	4121	578
09/15/14	19:00:30	695	1064	700	4121	577
09/15/14	19:00:31	695	1065	700	4121	577
09/15/14	19:00:33	695	1065	700	4121	577
09/15/14	20:00:26	695	1073	700	4121	579
09/15/14	20:00:28	695	1073	700	4121	579
09/15/14	20:00:30	695	1073	700	4121	578
09/15/14	20:00:31	695	1073	700	4121	578
09/15/14	20:00:33	695	1074	700	4121	578
09/15/14	21:00:26	695	1071	700	4121	579
09/15/14	21:00:28	695	1072	700	4121	578
09/15/14	21:00:30	695	1071	700	4121	578
09/15/14	21:00:31	695	1073	700	4121	577
09/15/14	21:00:33	695	1072	700	4121	577
09/15/14	22:00:26	695	1070	700	4121	578
09/15/14	22:00:28	695	1071	700	4121	578
09/15/14	22:00:30	695	1072	700	4121	577
09/15/14	22:00:31	695	1071	700	4121	577
09/15/14	22:00:33	695	1070	700	4121	577
09/15/14	23:00:26	695	1062	700	4121	578
09/15/14	23:00:28	695	1062	700	4121	577
09/15/14	23:00:30	695	1063	700	4121	577
09/15/14	23:00:31	695	1063	700	4121	576
09/15/14	23:00:33	695	1063	700	4121	576
09/16/14	00:00:26	695	1055	700	4121	579
09/16/14	00:00:28	695	1057	700	4121	578
09/16/14	00:00:30	695	1056	700	4121	577
09/16/14	00:00:31	695	1055	700	4121	577
09/16/14	00:00:33	695	1056	700	4121	577
09/16/14	01:00:26	695	1062	700	4121	578
09/16/14	01:00:28	695	1061	700	4121	578
09/16/14	01:00:30	695	1063	700	4121	577
09/16/14	01:00:31	695	1062	700	4121	577
09/16/14	01:00:33	695	1062	700	4121	577
09/16/14	02:00:26	695	1072	700	4121	579
